Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
m,188,7,24,r,brown,n,3,0,blue,marinsci,0,y,y,car,40,l
f,186,1,19,l,brown,n,1,0,blue,biotech,1,y,y,walk,2,l
m,174,4,29,r,brown,n,1,1,blue,biolsci,1,n,n,trn&bus,50,r
m,178,4,5,r,green,n,1,0,blue,marinsci,0,y,y,bus,30,r
f,167,3,7,r,brown,n,5,2,purple,biotech,3,n,y,car,5,l
m,181,2,8,r,bl/grn,y,0,1,red,envrest,3,n,y,bus,30,
m,175,9,16,r,blue,n,1,1,purple,envsci,3,y,y,bike,30,r
f,160,9,19,r,blue,n,1,3,blue,marinsci,0,n,y,car,5,l
f,171,12,29,l,blue,n,1,3,blue,consbiol,0,n,y,car,20,l
m,175,12,15,r,blue,n,1,1,blue,envsci,0,n,n,car,60,l
m,183,9,4,r,,y,0,1,green,envsci,5,y,y,car,50,r
m,180,1,25,r,green,n,3,2,red,consbiol,10,y,y,car,40,l
f,160,12,17,r,brown,y,0,1,blue,envsci,3,y,y,car,5,r
m,180,8,5,r,hazel,n,1,2,green,marinsci,3,n,y,car,5,l
m,180,5,16,r,blue,n,1,0,blue,envsci,1,y,y,car,50,r
f,159,4,26,r,blue,n,1,1,yellow,envsci,4,y,y,car,45,r
m,172,5,2,l,hazel,n,0,1,aqua,marinsci,0,y,n,walk,5,r
m,180,2,6,r,brown,n,1,0,red,marinsci,1,y,y,walk,12.5,r
f,168,12,31,r,brown,n,0,1,blue,consbiol,4,y,y,car,15,r
m,186,8,9,r,brown,n,1,2,blue,envsci,8,n,y,car,60,r
m,181,3,10,r,blue,y,1,1,blue,biolsci,2,n,y,car,30,l
m,178,2,2,r,blue,n,0,2,blue,marinsci,2,n,y,bike,15,l
m,,3,30,r,green,y,2,0,blue,marinsci,3,y,n,car,60,r
f,165,2,15,l,blue,n,0,1,blue,envsci,2,y,y,car,30,r
f,150,10,26,r,hazel,y,1,0,blue,marinsci,3,y,y,car,25,r
m,188,4,13,r,green,y,1,1,blue,envrest,1,y,y,bike,15,r
f,170,9,27,l,hazel,n,2,1,blue,tourism,1,y,y,trn&bus,50,l
f,169,6,21,r,blue,n,0,0,blue,envrest,1,y,y,trn&bus,50,l
m,183,4,28,r,brown,n,2,0,green,consbiol,5,y,y,bike,5,l
f,158,2,11,r,blue,n,2,4,yellow,consbiol,1,y,y,car,10,r
m,184,1,19,r,brown,n,1,1,blue,envsci,1,y,y,car,20,r
m,178,7,8,r,blue,n,2,0,blue,marinsci,1,n,y,car,10,r
m,177,9,11,l,brown,n,0,1,red,marinsci,2,n,y,car,5,l
m,192,7,26,r,blue,n,1,2,blue,biolsci,2,y,y,bus,40,l
f,170,1,12,r,blue,n,0,1,blue,marinsci,8,n,y,car,20,r
f,168,10,25,r,blue,n,1,0,orange,consbiol,1,n,y,car,40,l
m,186,10,23,r,blue,y,2,0,blue,sustdev,0,y,y,bus,60,l
m,186,5,10,r,,n,6,3,green,,0,y,y,bus,50,l
m,186,10,30,r,brown,n,0,2,red,envsci,1,y,y,car,20,r
m,180,11,22,l,brown,n,3,2,blue,maths,0,y,y,walk,10,l
f,175,3,14,r,blue,n,1,0,blue,chiro,1,y,y,bike,5,r
f,170,1,18,r,green,y,2,0,blue,biolsci,1,y,y,car,10,l
f,165,1,3,r,bl/grn,n,0,4,purple,consbiol,0,y,n,walk,5,r
f,174,11,26,r,blue,y,2,1,red,envsci,2,y,y,car,15,r
m,186,12,10,r,blue,n,0,1,blue,econ,4,y,y,car,12,r
m,179,8,5,r,brown,n,0,2,blue,infosys,1,y,y,walk,5,l
f,152,5,27,r,dkbrown,y,3,5,red,sociol,0,n,y,car,10,r
m,170,1,6,r,blue,n,2,1,red,consbiol,0,y,y,walk,15,r
f,158,3,25,l,blue,n,2,0,blue,biolsci,2,n,y,trn&bus,75,l
f,165,9,7,r,blue,n,1,2,purple,envsci,6,y,y,bus,25,r
f,152,12,23,r,brown,n,1,1,blue,molbiol,0,y,y,car,15,r
f,168,12,9,r,brown,y,0,2,blue,biolsci,2,y,y,car,15,r
m,180,1,8,r,hazel,n,0,1,green,marinsci,10,n,y,car,30,r
m,180,3,1,r,green,n,4,0,green,envsci,0,y,y,car,30,l
f,,10,16,r,hazel,y,1,0,blue,biolsci,30,n,y,car,20,l
m,170,3,7,r,blue,n,0,3,blue,envsci,7,y,y,walk,5,r
f,163,12,2,r,green,n,1,0,yellow,envsci,0,y,y,walk,5,r
m,181,5,11,r,brown,y,2,0,red,marinsci,4,n,y,car,40,r
f,153,3,20,r,bl/grn,y,0,1,blue,envsci,1,y,y,trn&bus,45,r
m,192,7,28,,brown,n,1,1,blue,consbiol,2,y,y,bus,20,r
f,172,10,21,r,grey,n,2,3,tan,marinsci,1,y,y,car,10,r
f,183,3,5,r,blue,n,3,1,green,envsci,0,y,y,car,30,r
m,193,2,10,r,blue,y,2,12,red,envsci,,y,y,car,60,l
f,155,6,24,r,brown,y,1,0,brown,envsci,1,y,y,bus,60,r
f,165,12,27,l,hazel,y,1,0,blue,consbiol,2,y,y,car,50,r
f,175,5,4,r,blue,n,1,1,purple,consbiol,3,n,n,car,20,r
f,157,4,22,r,green,n,1,1,blue,consbiol,2,y,y,car,20,r
f,150,8,12,r,green,n,1,1,blue,biotech,20,y,y,car,35,l
f,154,2,22,r,hazel,y,0,2,aqua,marinsci,21,y,y,car,35,r
m,183,7,5,l,blue,n,0,1,blue,envsci,1,y,y,car,60,
f,187,2,27,r,blue,n,1,2,green,envrest,0,y,y,bus,50,r
f,165,5,10,r,hazel,y,3,0,green,sustdev,0,y,y,car,10,l
m,190,10,9,r,blue,n,1,1,red,physics,0,n,n,bus,30,r
m,190,1,22,r,blue,n,1,1,green,envsci,1,n,y,bus,20,r
m,183,4,26,r,green,y,2,1,red,consbiol,7,n,y,bus,60,l
m,180,7,3,r,hazel,n,1,2,red,consbiol,0,y,y,car,45,r
f,156,10,28,r,black,n,0,0,red,marinsci,2,y,y,bus,15,r
m,182,11,22,r,blue,n,5,1,blue,envsci,1,y,y,car,32.5,l
m,180,10,25,r,blue,n,1,1,green,envsci,0,n,y,bus,37.5,l
f,170,1,31,l,blue,y,1,1,blue,consbiol,5,y,y,car,45,l
m,172,8,21,r,brown,n,0,1,blue,consbiol,1,y,y,car,45,r
f,165,3,4,r,blue,y,1,3,green,educatn,0,n,n,bus,60,r
f,163,9,15,r,brown,n,1,3,green,biomed,2,y,y,walk,10,l
m,180,10,17,r,brown,n,1,0,blue,envsci,0,y,y,walk,5,r
f,163,5,20,r,brown,y,1,2,black,biotech,0,y,n,walk,5,r
f,150,12,31,r,blue,n,1,0,blue,consbiol,4,n,y,car,45,r
f,172,9,14,r,hazel,n,0,1,red,biolsci,3,n,y,bus,60,r
f,180,12,7,l,green,n,0,1,red,consbiol,18,y,y,car,10,l
m,180,12,26,r,brown,y,2,0,red,envrest,0,y,y,bus,20,r
f,165,1,21,r,blue,y,0,3,purple,biolsci,1,n,y,car,30,r
f,167,6,30,r,hazel,n,1,0,yellow,envsci,0,y,y,bus,40,r
m,197,5,6,r,bl/grn,n,2,2,blue,envsci,5,n,y,car,20,r
m,176,1,14,r,dkbrown,n,1,1,black,envsci,4,y,y,walk,3,r
m,185,8,7,l,brown,n,2,0,yellow,envsci,0,y,y,walk,5,l
m,,5,15,r,brown,y,0,1,blue,envsci,1,n,y,car,15,l
f,,9,4,r,brown,n,0,1,blue,marinsci,1,y,y,car,15,r
f,164,6,20,r,blue,n,2,3,orange,biolsci,4,y,y,bus,60,r
f,170,8,10,l,brown,y,1,0,yellow,consbiol,1,y,y,car,30,r
f,171,4,24,r,hazel,n,0,0,blue,marinsci,9,y,y,car,45,r
f,161,1,14,r,bl/brn,n,1,0,blue,envrest,6,y,y,car,20,r
f,170,3,14,l,blue,n,0,2,blue,molbiol,2,y,y,car,17.5,r
f,170,7,22,r,dkbrown,y,1,2,red,consbiol,4,n,y,bus,40,r
m,180,7,1,r,brown,n,2,1,blue,marinsci,3,y,y,bus,35,r
m,185,7,13,r,blue,n,3,0,black,envsci,1,y,y,car,3,r
f,170,6,27,r,hazel,y,1,1,blue,marinsci,2,y,y,car,25,r
m,183,7,21,r,grey/bl,n,1,0,blue,envsci,4,n,y,car,30,l
f,155,10,9,r,brown,n,0,0,purple,biolsci,2,n,y,car,30,r
m,173,11,25,r,blue,n,2,1,white,maths,0,y,y,motorcyc,5,r
f,163,10,15,r,brown,y,0,1,purple,envrest,3,y,y,walk,15,l
f,162,10,29,l,hazel,n,0,1,blue,sustdev,0,y,y,car,10,l
f,170,10,2,r,blue,n,0,1,green,biolsci,2,y,y,car,10,r
f,168,7,2,r,green,y,1,0,red,consbiol,2,y,y,car,40,r
m,185,12,27,r,brown,n,1,0,blue,marinsci,6,y,y,car,90,l
f,167,12,22,r,green,n,2,2,blue,envrest,4,y,y,bus,50,l
f,165,12,21,r,brown,n,1,0,red,consbiol,3,n,y,car,5,r
f,175,3,30,l,blue,n,0,1,beige,marinsci,1,y,y,walk,20,l
f,173,4,18,l,blue,n,0,2,blue,consbiol,4,y,y,car,25,r
f,165,2,1,r,brown,y,0,3,blue,envsci,1,y,y,walk,5,r
m,185,10,13,r,hazel,n,1,2,black,marinsci,5,y,y,car,20,l
m,160,7,7,r,brown,n,1,2,blue,,0,n,y,car,15,r
m,180,2,27,r,blue,n,1,1,green,envrest,1,y,y,bike,60,r
f,168,5,15,r,blue,y,3,3,blue,marinsci,2,y,y,car,20,r
f,175,2,7,r,brown,n,0,1,blue,consbiol,3,y,n,walk,10,r
m,180,1,4,r,green,y,2,2,blue,envsci,1,y,y,car,35,l
m,190,8,1,r,brown,y,1,0,blue,biomed,4,n,y,car,25,r
m,182,6,16,r,blue,n,0,1,blue,consbiol,,y,y,car,15,r
f,165,4,26,r,green,n,0,1,pink,envsci,2,y,y,bus,5,l
m,194,1,21,r,brown,y,2,1,blue,envsci,0,y,y,bike,15,r
m,168,7,22,l,blue,n,1,1,blue,biolsci,0,n,n,car,30,l
f,,3,15,r,blue,n,0,1,blue,maths,1,y,y,bus,25,r
m,177,8,24,r,green,n,0,1,blue,consbiol,1,y,y,motorcyc,10,l
f,165,9,15,r,brown,n,1,0,pink,consbiol,3,n,y,bus,60,r
f,185,6,21,r,green,n,1,1,green,consbiol,3,y,y,car,10,r
f,164,7,31,r,blue,n,0,0,blue,marinsci,0,n,y,walk,20,r
f,168,11,19,l,hazel,n,1,1,blue,envrest,7,y,y,car,25,r
f,,10,1,r,blue,n,1,2,green,biolsci,4,y,y,car,15,r
f,174,9,6,r,brown,n,1,1,red,envsci,1,y,y,car,20,r
f,165,6,15,r,brown,y,1,1,purple,marinsci,5,n,y,car,120,r
f,175,9,22,l,green,n,1,1,aqua,marinsci,2,y,y,bus,60,l
m,175,1,30,r,black,y,0,0,blue,biotech,0,n,y,bus,15,l
m,188,7,18,r,blue,n,1,1,yellow,envsci,1,y,y,car,40,l
f,165,11,21,r,green,n,0,0,green,envsci,1,y,y,car,20,l
f,175,3,24,r,blue,n,1,1,blue,marinsci,5,y,y,car,15,r
m,183,10,27,r,brown,n,4,1,green,envsci,1,n,y,car,10,r
m,180,10,3,r,blue,n,2,0,green,sustdev,0,y,y,bus,60,l
f,171,8,24,r,blue,n,1,1,blue,envsci,4,y,y,bike,20,l
f,170,2,11,r,brown,n,0,0,blue,molbiol,2,n,y,bus,45,r
f,,4,2,r,brown,y,2,1,blue,biolsci,1,n,y,walk,15,l
m,178,8,15,r,blue,y,1,1,blue,marinsci,1,n,y,car,20,l
f,173,10,12,r,hazel,n,0,0,green,envrest,1,y,y,car,15,l
f,170,5,5,r,green,n,1,1,purple,consbiol,4,n,y,bus,40,r
m,170,3,3,l,green,y,2,0,blue,marinsci,2,y,y,car,45,l
m,172,4,1,r,blue,n,2,6,blue,marinsci,9,y,y,car,25,r
f,163,3,16,l,green,y,1,2,green,biolsci,10,y,y,car,30,r
f,165,8,26,r,blue,y,1,1,red,molbiol,5,y,y,car,20,l
f,173,3,19,r,blue,y,0,2,blue,consbiol,1,y,y,car,15,r
f,163,2,11,r,blue,n,1,1,red,envsci,1,y,y,bus,45,l
f,165,1,17,r,blue,n,1,0,blue,biolsci,13,n,y,car,30,r
m,185,10,14,r,brown,n,0,2,blue,biotech,0,y,y,car,5,r
f,182,8,23,r,blue,n,1,0,aqua,marinsci,4,n,y,car,45,l
f,159,11,11,r,black,y,2,0,purple,biomed,1,y,y,walk,8,l
f,173,11,16,r,blue,y,0,1,blue,biolsci,3,y,y,trn&bus,75,r
f,168,7,9,r,blue,n,1,0,purple,biomed,1,n,n,car,120,r
m,175,1,16,r,bl/grn,n,0,1,grey,consbiol,1,y,y,car,10,r
m,190,9,20,r,bl/brn,n,0,0,black,molbiol,0,n,n,trn&bus,75,l
f,168,7,15,r,green,n,0,0,blue,biotech,1,n,y,car,35,r
f,165,10,19,r,brown,n,1,1,blue,consbiol,20,y,y,car,20,r
f,161,8,19,r,black,y,2,0,blue,,0,y,y,walk,15,r
f,168,8,22,r,brown,n,2,0,blue,consbiol,0,y,y,bus,30,l
f,168,12,21,r,blue,n,1,2,blue,marinsci,2,y,y,bus,45,r
f,160,1,5,r,brown,n,0,1,blue,compsci,0,n,n,car,15,l
f,175,3,8,r,green,n,0,1,green,infosys,5,n,y,car,6,r
m,199,7,17,r,bl/grn,n,0,2,green,biolsci,0,y,y,car,12.5,r
f,168,12,8,r,hazel,y,2,2,purple,marinsci,1,y,y,car,30,l
m,,1,1,r,brown,n,0,0,yellow,biotech,0,y,y,bus,45,
m,190,9,9,r,hazel,n,2,0,blue,envsci,0,n,y,car,35,l
f,172,11,16,r,green,n,1,0,aqua,physics,4,n,y,bus,50,l
m,178,6,30,r,brown,n,0,1,green,molbiol,1,y,y,car,25,r
f,167,3,27,r,green,n,1,2,blue,envsci,8,y,y,car,45,r
