Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
f,163,2,5,r,blue,y,2,4,green,biolsci,10,y,y,trainbus,82,l
f,178,7,3,r,brown,n,1,0,white,molbiol,0,y,y,bus,37,r
f,168,5,7,l,blue,y,0,2,blue,hlth&env,10,y,y,car,37,r
f,173,12,19,l,blue,n,0,1,black,forb&tox,2,n,y,trainbus,120,l
f,165,8,14,r,brown,y,0,1,purple,biolsci,2,n,y,car,20,l
m,177,6,13,,brown,y,1,0,blue,envsci,1,n,y,bus,50,l
f,159,1,10,r,grey,y,0,0,blue,biolsci,4,n,y,car,10,r
f,,10,1,r,blue,n,0,0,blue,forb&tox,1,n,y,car,12,r
f,160,9,4,r,brown,n,1,1,blue,forb&tox,2,n,n,car,40,r
m,180,8,28,r,bl/green,n,0,1,turquois,forb&tox,1,n,y,bus,60,r
f,160,6,20,r,brown,n,1,2,blue,biomed,1,y,y,car,17,l
m,181,8,31,r,brown,n,0,1,blue,forb&tox,0,y,y,car,12,r
f,153,11,19,r,hazel,n,2,1,blue,molbiol,0,y,y,bus,30,r
f,173,3,26,l,green,n,2,0,blue,forb&tox,1,y,y,walk,7,l
f,164,11,8,r,dkbrown,y,0,0,pink,biolsci,0,n,n,walk,10,r
f,152,10,4,r,dkbrown,n,1,1,blue,forb&tox,2,y,y,walk,8,r
m,178,3,4,r,brown,n,2,3,green,forb&tox,3,y,n,walk,8,r
f,152,11,1,r,dkbrown,y,0,2,blue,forb&tox,1,n,y,walk,5,r
f,186,2,1,r,brown,n,6,3,blue,envsci,0,y,y,bus,60,r
f,165,2,27,l,black,y,1,2,yellow,hlth&env,0,n,y,car,30,
m,167,5,8,r,black,n,1,0,green,biotech,0,y,y,bus,15,l
m,183,9,17,r,blue,y,1,0,blue,biomed,1,y,y,car,5,r
f,159,5,17,r,brown,n,0,2,green,envsci,3,y,y,bus,50,r
m,165,3,24,r,blue,n,0,1,green,envsci,1,y,y,bus,50,r
m,182,2,4,r,bl/green,y,0,2,blue,educat,0,n,y,car,20,l
m,175,12,24,r,brown,n,1,1,blue,biotech,1,n,n,car,30,l
m,177,3,31,r,brown,n,2,0,blue,biotech,1,n,y,car,20,l
m,185,6,20,r,green,y,0,3,blue,,2,y,y,bus,20,r
f,183,9,10,r,brown,n,1,1,blue,educat,5,y,y,bus,20,l
m,182,8,15,r,black,y,1,1,red,biotech,2,y,n,walk,10,r
f,160,1,26,r,black,y,0,1,black,biotech,1,n,y,car,15,r
f,,8,28,r,brown,n,0,2,green,envsci,0,y,y,bike,15,r
m,185,4,10,r,blue,y,0,0,red,envsci,1,n,y,car,40,r
m,173,9,1,r,blue,n,2,2,blue,envsci,3,y,y,bus,30,l
f,175,2,7,r,brown,n,1,1,yellow,forb&tox,2,n,y,bus,75,r
f,170,3,2,r,green,n,2,0,turquois,biotech,0,n,y,car,20,r
f,163,4,16,r,green,n,2,0,blue,forb&tox,1,n,y,walk,20,r
f,167,7,21,r,grey,n,1,1,blue,forb&tox,2,n,y,bus,15,r
f,163,12,1,r,blue,y,0,1,aubergine,envsci,2,y,y,car,50,l
m,167,9,11,r,green,n,1,0,grey,consbiol,2,n,n,bus,20,l
f,167,10,19,r,blue,n,2,1,yellow,forb&tox,1,y,y,car,35,l
f,168,10,6,r,blue,y,2,0,green,consbiol,2,n,y,car,20,l
m,185,11,10,r,blue,y,1,1,blue,forb&tox,0,y,y,car,17,l
m,173,9,25,l,brown,n,0,1,blue,educat,0,y,n,walk,5,r
f,181,1,9,r,brown,y,1,1,purple,forb&tox,1,y,y,trainbus,75,r
f,,7,9,r,blue,y,1,0,purple,forb&tox,35,y,y,bus,35,r
f,171,10,13,r,green,n,2,0,red,forb&tox,1,y,y,car,60,l
f,155,11,20,r,brown,n,1,1,blue,biolsci,6,y,y,car,22,r
f,165,11,12,r,blue,n,0,1,blue,forb&tox,1,n,y,car,30,r
m,185,9,2,r,brown,y,2,2,blue,mathstat,0,n,y,car,15,r
f,165,7,22,r,brown,y,0,1,blue,molbiol,1,y,y,car,20,l
f,160,5,18,r,blue,y,0,2,blue,biotech,1,n,y,car,30,l
f,178,4,22,r,brown,n,1,1,yellow,biotech,1,y,y,car,25,r
m,165,4,23,l,green,n,0,2,maroon,marinsci,2,y,y,car,10,r
m,175,6,15,l,green,n,1,1,blue,marinsci,2,n,y,car,3,l
f,158,10,16,r,bl/green,n,1,0,pink,genarts,12,y,n,bus,30,r
m,189,7,18,r,blue,n,0,0,blue,marinsci,0,n,y,car,20,r
m,186,10,24,r,green,n,2,0,green,molbiol,1,y,y,bus,60,l
m,173,6,4,r,blue,y,0,1,purple,marinsci,5,n,y,car,12,l
m,176,12,27,r,black,n,1,6,grey,molbiol,0,y,y,bus,45,l
f,171,11,2,r,green,y,2,0,blue,forb&tox,1,y,y,car,60,r
m,176,6,12,r,hazel,n,0,2,purple,biotech,0,y,y,bus,50,r
f,160,3,27,r,hazel,n,1,1,pink,biomed,2,y,y,car,15,r
m,167,5,11,r,brown,y,1,1,blue,,0,n,y,car,30,r
f,165,9,18,r,green,n,2,0,blue,biomed,6,n,y,car,20,r
f,169,9,9,r,blue,n,1,0,blue,molbiol,12,n,y,trainbus,90,l
f,169,4,26,r,hazel,n,0,1,blue,biomed,1,n,y,car,15,r
f,178,4,16,r,hazel,y,1,1,red,biomed,1,n,y,car,20,l
f,178,12,16,r,brown,n,1,1,blue,molbiol,6,y,y,car,20,r
f,170,8,5,r,blue,y,0,1,orange,envsci,0,y,y,walk,10,l
f,169,3,3,r,brown,y,1,1,purple,molbiol,5,y,y,car,60,l
m,175,5,26,r,hazel,y,0,2,blue,forb&tox,3,n,y,walk,15,r
f,179,7,20,r,brown,y,2,0,green,forb&tox,2,n,y,car,30,r
m,179,9,26,r,blue,n,0,1,blue,marinsci,2,y,y,car,45,l
f,175,2,2,r,hazel,y,1,0,blue,forb&tox,3,n,y,car,5,l
f,172,6,25,r,hazel,n,2,1,red,susdev,1,y,y,car,15,l
f,163,5,3,r,blue,y,1,3,pink,susdev,0,y,y,trainbus,60,r
m,177,8,7,r,black,n,0,1,blue,biotech,5,n,y,bus,40,r
m,170,1,24,r,black,y,2,0,blue,biotech,0,n,y,car,10,r
f,,5,28,r,blue,n,0,1,yellow,biomed,25,n,y,car,30,l
m,166,9,18,r,brown,y,0,1,blue,biolsci,1,n,y,car,40,l
f,165,2,19,r,dkbrown,n,0,2,purple,forb&tox,1,y,y,bus,30,l
f,168,12,22,r,blue,n,0,2,pink,forb&tox,0,n,y,car,15,r
f,168,12,22,l,blue,n,0,2,pink,forb&tox,0,n,y,car,15,l
f,160,9,20,r,hazel,y,0,1,green,biolsci,13,n,y,car,7,r
f,160,12,10,r,brown,n,3,4,green,biomed,0,y,y,car,30,r
f,159,8,6,r,bl/green,n,1,3,blue,marinsci,0,n,y,bike,60,
m,189,2,1,r,brown,n,0,1,red,law,1,y,y,car,20,
f,165,10,10,r,blue,n,1,1,blue,biolsci,15,n,y,car,60,r
m,186,1,28,r,hazel,n,3,0,blue,marinsci,6,y,y,car,60,l
f,156,7,31,r,dkbrown,y,1,1,blue,biotech,1,n,n,bike,10,r
m,187,10,26,r,green,n,1,2,blue,educat,50,y,y,car,30,r
f,180,6,3,r,hazel,y,1,0,green,consbiol,1,y,y,bus,30,
f,166,1,20,r,blue,y,1,0,pink,forb&tox,1,y,y,car,40,
m,187,1,25,r,green,n,0,1,green,envrest,5,n,y,trainbus,80,r
f,,12,11,r,blu/grey,n,0,1,blue,biolsci,6,y,y,trainbus,90,r
f,173,11,30,r,hazel,y,0,0,,forb&tox,1,y,y,bus,30,
f,160,1,11,r,blue,y,1,0,blue,forb&tox,1,y,y,car,60,r
f,152,2,8,r,hazel,n,0,2,blue,forb&tox,1,n,y,car,20,r
f,157,4,17,r,bl/green,n,2,0,pink,forb&tox,6,y,y,bus,45,r
f,170,10,1,r,green,n,1,0,yellow,forb&tox,2,y,y,car,15,r
f,163,5,24,r,blue,n,1,0,red,biomed,0,y,y,bus,37,
m,196,9,29,r,bl/green,y,1,0,grey,,10,y,y,car,15,l
f,170,10,1,r,green,n,1,0,red,forb&tox,2,y,y,car,15,r
