Gender,Height,MonthBorn,DayBorn,DomHand,ColourEye,Glasses,NumBrother,NumSister,FavColour,Degree,Pets,MurdochRecycle,OtherRecycle,Transport,TimeTravel,DomEye
f,168,5,18,r,hazel,y,1,2,yellow,forb&tox,6,n,y,bus/train,60,r
f,168,6,13,r,blue,n,1,0,green,envsci/envtech,1,y,y,car,20,r
f,170,9,14,r,brown,n,2,2,purple,biomed,1,y,y,car,60,r
m,190,8,25,r,hazel,n,0,0,red,nanosc/biotech,2,n,y,bus,30,l
f,178,7,2,r,blue,y,0,1,blue,forb&tox,0,n,y,bus,30,r
f,179,8,25,r,brown,n,1,1,black,biomed,5,y,y,bus,90,r
f,157,8,11,r,hazel,n,1,0,purple,forb&tox,2,y,y,car,20,r
m,173,6,22,r,brown,n,0,2,red,biomed,1,y,y,car,10,l
f,164,9,17,r,hazel,y,4,1,purple,forb&tox,1,n,y,walk,10,r
f,164,5,7,r,blue,y,0,2,red,marinsci,3,y,n,car,30,l
m,186,10,12,r,brown,n,3,2,blue,law/forb&tox,3,n,y,car,30,
f,161,10,12,r,brown,n,0,2,blue,law,1,y,y,car,20,r
f,,7,2,l,hazel,n,0,1,pink,hlth&env,2,y,y,car,25,l
m,195,1,10,l,blue,y,1,1,orange,biotech,4,y,y,bus,1,l
m,192,10,12,r,brown,n,0,0,blue,forb&tox/biomed,1,n,y,bus,90,r
m,177,6,13,r,brown,n,1,0,blue,biotech,2,y,y,car,20,r
m,175,11,2,l,green,y,1,2,red,envsci,1,y,y,car,15,l
m,179,6,24,r,brown,n,0,0,silver,molbiol,4,n,n,bus,50,r
f,174,5,9,r,hazel,y,0,1,green,molbiol,5,y,y,bus,90,r
f,175,4,10,r,blue,n,3,1,blue,forb&tox,2,y,y,car,15,r
m,175,5,29,r,blue,n,0,0,white,forb&tox,2,y,y,car,40,r
m,178,12,21,r,hazel,y,1,0,blue,forb&tox,6,n,y,car,15,r
f,158,2,6,r,green,n,1,0,red,forb&tox,1,n,y,car,45,l
f,173,2,26,r,hazel,n,1,0,blue,forb&tox,1,n,y,car,15,l
m,178,9,8,r,blue,n,2,0,blue,educat/mathstats,0,y,y,car,25,r
m,165,4,11,l,green,n,1,1,black,biolsc,10,y,y,car,30,r
m,176,5,15,r,brown,n,3,1,red,biomed,1,y,y,bicycle,8,l
f,160,11,2,r,brown,n,2,0,blue,marinsci,1,n,y,bus,60,l
m,167,5,29,r,brown,y,1,2,blue,biolsc,6,y,y,car,5,r
m,168,7,2,r,brown,n,1,1,red,marinsci,5,n,y,bus,25,r
m,194,3,29,r,green,n,2,1,green,envsci,8,y,y,car,30,l
f,,9,15,r,blue,n,2,2,pink,hlth&env,3,y,n,bus/train,90,r
m,165,10,5,r,brown,n,1,0,blue,hlth&env,0,y,y,bus,15,l
m,188,4,25,r,hazel,y,1,0,fuschia,biolsc,2,y,y,car,40,r
m,170,3,18,r,brown,n,0,1,green,molbiol,0,y,y,car,35,l
m,186,3,27,r,brown,y,2,1,green,biotech,4,n,y,bus/train,70,r
m,186,11,29,r,blue,n,0,1,blue,biolsc,8,n,y,car,40,l
f,155,10,19,r,blue,n,0,3,pink,forb&tox,2,y,y,car,15,r
f,155,2,25,r,green,n,1,0,blue,forb&tox,2,n,y,bus,90,l
m,186,7,13,r,brown,y,4,2,red,hlth&env,7,n,y,bus/train,90,r
f,178,12,31,r,hazel,n,1,1,pink,forb&tox,1,y,y,bus/train,60,r
f,,8,17,r,grey,y,0,0,green,forb&tox,4,y,y,bus,40,r
m,185,12,15,r,brown,n,0,1,green,biolsc/consbiol,5,y,y,car,30,l
m,183,7,24,r,brown,n,1,0,red,molbiol,0,y,y,walk,10,r
f,167,3,1,l,hazel,n,4,2,black,forb&tox,1,n,y,car,30,r
f,161,12,27,r,hazel,n,0,1,green,forb&tox,1,y,y,car,20,r
f,168,2,2,r,blue,y,1,2,blue,forb&tox,4,y,y,car,10,l
f,150,6,25,r,blue,y,0,1,blue,forb&tox,2,y,y,bus/car,45,r
m,192,10,29,r,brown,y,0,0,orange,forb&tox,2,y,y,car,20,r
f,167,4,19,r,brown,n,2,0,purple,biolsc,2,n,y,car,50,l
m,186,7,9,r,blue,n,2,1,green,biotech,11,n,n,bus/train,90,r
m,175,1,7,r,grey,n,1,3,blue,biotech,1,y,y,car,45,r
f,163,10,17,r,brown,y,1,0,red,molbiol,1,y,y,bus,30,l
f,154,9,30,r,blue,y,1,1,blue,forb&tox,1,y,y,walk,2,r
f,167,10,16,r,blue,n,0,1,blue,forb&tox,2,y,y,bus/train,75,r
f,167,2,17,r,hazel,y,1,1,blue,biomed,0,n,y,car,15,r
m,170,9,13,r,blue,n,1,1,green,biomed/forb&tox,3,y,y,car,30,r
f,155,7,28,r,brown,y,0,3,red,biomed/molbiol,0,y,y,bus,90,l
f,160,7,10,r,green,n,1,0,purple,forb&tox,1,y,y,car,30,r
f,165,10,4,r,brown,y,0,2,yellow,mathstat,1,y,y,car,30,l
f,164,7,21,r,blue,y,0,1,green,psych,3,y,y,car,30,r
f,166,3,4,r,blue,n,1,2,red,forb&tox,0,y,y,car,12,r
f,170,10,3,r,hazel,n,0,1,blue,hlth&env,2,y,y,car,15,r
f,156,5,29,r,brown,y,5,1,pink,molbiol,0,n,y,bus,45,r
m,180,4,24,r,brown,n,2,2,green,envsci,2,y,y,bus,5,r
f,157,2,17,l,brown,n,0,1,yellow,consbiol ,1,n,y,car,15,r
f ,165,3,10,r,blue,n,1,0,red,consbiol,3,n,y,bus,15,r
f,168,10,13,r,brown,y,1,1,white,biotech/acct,0,y,y,walk,10,r
m,175,12,17,r,brown,y,1,0,blue,biotech/com,0,y,y,bicycle,6,r
f,156,4,18,r,brown,n,1,3,red,biotech,0,y,y,walk,10,r
f,168,4,14,r,brown,n,0,1,blue,biotech,0,y,y,car,15,r
f,163,10,17,r,brown,n,1,2,green,biolsc,0,y,y,walk,5,r
f,155,6,21,l,brown,y,1,0,red,envsci,1,y,y,bus,45,l
f,173,6,5,r,brown,y,1,1,green,forb&tox,1,y,y,walk,10,r
m,178,8,14,r,brown,y,1,0,black,envsci,0,y,y,bus,45,r
m,182,11,30,r,brown,y,0,0,blue,biotech,0,n,y,car,40,r
f ,167,5,5,r,brown,n,0,1,blue,forb&tox,7,n,y,car,5,r
m,184,6,24,r,brown,n,0,1,white,biotech/management,1,y,y,walk,5,r
f,153,7,5,r,hazel,n,0,0,pink,forb&tox,1,y,y,car,30,r
m,165,4,28,r,hazel,n,1,1,blue,marinsci,1,y,y,car,20,r
f,170,4,5,l,green,y,1,1,blue,,4,y,y,car,30,l
m,178,11,17,r,brown,y,0,1,black,forb&tox,1,y,n,car,30,r
f,167,11,19,l,blue,n,0,1,blue,biomed,0,y,y,bicycle,50,r
m,185,2,19,r,brown,y,1,0,orange,biotech/marketing,8,y,y,walk,5,r
m,174,9,28,r,brown,n,0,2,green,biotech/management,1,n,y,walk,5,r
m,190,3,30,r,brown,n,3,0,blue,mathstat,3,n,y,car,15,l
m,179,5,5,r,blue,n,0,1,blue,envsci,0,y,y,car,30,r
m,,2,9,l,hazel,n,0,1,blue,forb&tox,0,n,y,car,30,l
m,181,7,21,r,black,y,1,0,blue,biotech,0,y,y,bus/train,40,r
m,176,10,2,r,brown,y,3,0,green,forb&tox,1,y,y,car,25,r
f,155,10,29,r,brown,y,0,3,blue,molbiol/biomed,3,n,n,bus/train,60,r
f,166,8,6,r,brown,y,1,1,white,biomed,1,y,y,bus,60,l
f,160,11,18,r,brown,y,1,1,pink,molbiol/biomed,0,y,n,car,30,r
f,179,5,8,r,blue,n,1,2,blue,molbiol,1,y,y,car,20,r
f,150,4,18,r,brown,y,0,0,grey,forb&tox,0,y,y,walk,10,r
f,163,3,25,r,brown,n,1,2,black,forb&tox,0,n,y,car,20,r
m,177,9,22,r,brown,y,0,2,silver,forb&tox,0,y,y,bus,20,
m,184,11,25,r,blue,n,1,1,yellow,biomed,1,y,y,car,10,l
f,174,2,19,r,blue,y,1,1,orange,biolsc/education,2,y,y,car,30,l
m,186,11,18,r,blue,n,2,0,blue,envsci,8,y,y,bicycle,20,r
f,155,12,13,r,brown,y,1,0,blue,molbiol,2,y,y,car,15,r
f,173,1,30,r,blue,n,3,0,purple,forb&tox,8,n,y,bus,90,r
f,175,12,30,r,brown,y,1,1,purple,biomed,4,n,y,car,45,r
f,160,7,7,r,green,n,1,0,green,biomed,1,n,y,car,20,r
m,175,2,21,r,blue,n,0,1,blue,biolsc,1,y,y,car,20,r
f,163,1,28,r,blue,n,0,2,blue,forb&tox,1,y,y,car,35,r
f,157,4,3,r,brown,y,0,1,green,biolsc,0,n,y,car,10,l
m,175,5,4,r,green,n,0,1,green,biolsc,7,y,y,car,45,r
f,159,12,27,r,brown,n,1,1,purple,consbiol,0,n,y,car,35,r
f,156,4,16,l,green,n,0,1,green,envsci,2,y,y,car,40,r
m,172,7,12,r,brown,y,0,1,blue,biolsc,0,y,y,walk,10,r
m,185,2,7,r,brown,y,4,1,black,marinsci,1,y,n,walk,5,r
f,176,12,19,r,blue,n,1,1,orange,consbiol,4,y,y,walk,20,r
m,183,11,5,r,blue,n,0,0,blue,molbiol,1,y,y,car,20,r
m,178,8,14,r,brown,n,0,2,blue,hlth&env,1,y,n,car,45,l
f,166,7,19,l,grey,n,2,0,pink,hlth&env,4,y,y,car,15,r
m,170,10,17,l,brown,n,1,1,green,law/envsci,3,y,y,bus,15,r
f,162,5,5,r,green,n,0,1,yellow,forb&tox,6,n,y,car,30,r
f,160,7,16,r,green,n,1,4,green,forb&tox,8,n,y,car,30,r
m,177,8,12,r,brown,n,0,1,blue,envsci,2,y,y,car,12,r
f,157,5,24,l,blue,n,1,0,blue,marinsci,1,y,y,bus,90,l
f,178,8,17,r,grey,n,1,1,red,envsci,4,y,y,car,25,r
f,168,8,21,r,blue,n,1,1,blue,forb&tox,5,y,y,car,10,r
f,180,7,8,r,blue,y,1,4,black,molbiol,2,y,y,car,35,r
f,172,9,19,r,brown,y,0,1,green,consbiol,3,y,y,car,55,r
m,181,2,11,r,blue,n,0,3,blue,physicalsc/maths,1,y,y,b,50,r
m,178,8,3,r,hazel,y,0,1,blue,mathstat,1,n,y,car,15,l
m,184,1,13,r,hazel,n,4,0,yellow,biolsc,1,y,y,car,10,r
f,150,11,29,r,blue,y,2,1,blue,envsci,4,y,y,bus,150,r
m,174,4,11,r,brown,y,0,1,blue,biolsc,0,n,n,car,30,r
m,185,9,5,r,blue,n,1,2,blue,marinsci,1,y,y,car,5,l
m,181,3,18,r,grey,y,1,1,blue,hlth&env,0,y,y,car,10,r
m,180,6,17,r,brown,y,0,1,green,envsci,0,y,y,car,10,r
m,186,8,31,r,blue,n,0,2,blue,biomed,3,n,y,car,10,r
f,170,3,20,r,brown,y,0,1,green,biotech,0,y,n,walk,10,r
f,180,4,1,r,green,n,0,1,red,forb&tox,11,y,y,bus,60,
f,,8,25,l,hazel,n,0,1,purple,law/envsci,1,n,y,bus,30,l
f,165,3,14,r,hazel,n,1,1,green,forb&tox,1,y,y,car,45,r
m,178,4,5,r,brown,y,1,1,blue,hlth&env,3,n,y,car,20,r
m,173,3,20,r,brown,n,3,4,blue,hlth&env,0,n,y,bus,30,r
m,190,6,27,r,brown,y,2,0,blue,mathstat,11,y,y,car,40,r
m,166,4,23,l,green,n,0,2,red,marinsci,0,y,y,car,7,r
